Applicant_ID,Source,Job_Role,Department,Application_Date,Stage,Stage_Sequence,Stage_Date,Status,Days_Since_Application,Age,Gender,Education,EducationField
APP1000,Employee Referral,Laboratory Technician,Research & Development,2024-04-24,Application Received,1,2024-04-24,Passed,0,18,Male,3,Life Sciences
APP1000,Employee Referral,Laboratory Technician,Research & Development,2024-04-24,Resume Screening,2,2024-04-30,Passed,6,18,Male,3,Life Sciences
APP1000,Employee Referral,Laboratory Technician,Research & Development,2024-04-24,HR Phone Screen,3,2024-05-04,Passed,10,18,Male,3,Life Sciences
APP1000,Employee Referral,Laboratory Technician,Research & Development,2024-04-24,Technical Round,4,2024-05-04,Rejected,10,18,Male,3,Life Sciences
APP1001,Company Website,Sales Representative,Sales,2024-03-30,Application Received,1,2024-03-30,Passed,0,18,Female,3,Medical
APP1001,Company Website,Sales Representative,Sales,2024-03-30,Resume Screening,2,2024-04-03,Passed,4,18,Female,3,Medical
APP1001,Company Website,Sales Representative,Sales,2024-03-30,HR Phone Screen,3,2024-04-06,Passed,7,18,Female,3,Medical
APP1001,Company Website,Sales Representative,Sales,2024-03-30,Technical Round,4,2024-04-06,Rejected,7,18,Female,3,Medical
APP1002,Company Website,Sales Representative,Sales,2025-10-27,Application Received,1,2025-10-27,Passed,0,18,Male,3,Marketing
APP1002,Company Website,Sales Representative,Sales,2025-10-27,Resume Screening,2,2025-11-06,Passed,10,18,Male,3,Marketing
APP1002,Company Website,Sales Representative,Sales,2025-10-27,HR Phone Screen,3,2025-11-09,Passed,13,18,Male,3,Marketing
APP1002,Company Website,Sales Representative,Sales,2025-10-27,Technical Round,4,2025-11-09,Rejected,13,18,Male,3,Marketing
APP1003,LinkedIn,Research Scientist,Research & Development,2025-12-15,Application Received,1,2025-12-15,Passed,0,18,Male,2,Life Sciences
APP1003,LinkedIn,Research Scientist,Research & Development,2025-12-15,Resume Screening,2,2025-12-21,Passed,6,18,Male,2,Life Sciences
APP1003,LinkedIn,Research Scientist,Research & Development,2025-12-15,HR Phone Screen,3,2025-12-21,Rejected,6,18,Male,2,Life Sciences
APP1004,Campus Hiring,Laboratory Technician,Research & Development,2024-04-14,Application Received,1,2024-04-14,Passed,0,18,Male,1,Medical
APP1004,Campus Hiring,Laboratory Technician,Research & Development,2024-04-14,Resume Screening,2,2024-04-22,Passed,8,18,Male,1,Medical
APP1004,Campus Hiring,Laboratory Technician,Research & Development,2024-04-14,HR Phone Screen,3,2024-04-25,Passed,11,18,Male,1,Medical
APP1004,Campus Hiring,Laboratory Technician,Research & Development,2024-04-14,Technical Round,4,2024-04-25,Rejected,11,18,Male,1,Medical
APP1005,Employee Referral,Laboratory Technician,Research & Development,2024-05-07,Application Received,1,2024-05-07,Passed,0,18,Female,3,Life Sciences
APP1005,Employee Referral,Laboratory Technician,Research & Development,2024-05-07,Resume Screening,2,2024-05-14,Passed,7,18,Female,3,Life Sciences
APP1005,Employee Referral,Laboratory Technician,Research & Development,2024-05-07,HR Phone Screen,3,2024-05-14,Rejected,7,18,Female,3,Life Sciences
APP1006,Company Website,Sales Representative,Sales,2025-01-05,Application Received,1,2025-01-05,Passed,0,18,Female,2,Medical
APP1006,Company Website,Sales Representative,Sales,2025-01-05,Resume Screening,2,2025-01-05,Rejected,0,18,Female,2,Medical
APP1007,LinkedIn,Research Scientist,Research & Development,2025-11-08,Application Received,1,2025-11-08,Passed,0,18,Female,3,Medical
APP1007,LinkedIn,Research Scientist,Research & Development,2025-11-08,Resume Screening,2,2025-11-12,Passed,4,18,Female,3,Medical
APP1007,LinkedIn,Research Scientist,Research & Development,2025-11-08,HR Phone Screen,3,2025-11-12,Rejected,4,18,Female,3,Medical
APP1008,LinkedIn,Sales Representative,Sales,2025-01-24,Application Received,1,2025-01-24,Passed,0,19,Male,1,Marketing
APP1008,LinkedIn,Sales Representative,Sales,2025-01-24,Resume Screening,2,2025-02-01,Passed,8,19,Male,1,Marketing
APP1008,LinkedIn,Sales Representative,Sales,2025-01-24,HR Phone Screen,3,2025-02-09,Passed,16,19,Male,1,Marketing
APP1008,LinkedIn,Sales Representative,Sales,2025-01-24,Technical Round,4,2025-02-16,Passed,23,19,Male,1,Marketing
APP1008,LinkedIn,Sales Representative,Sales,2025-01-24,Manager Interview,5,2025-02-16,Rejected,23,19,Male,1,Marketing
APP1009,Employee Referral,Laboratory Technician,Research & Development,2025-10-25,Application Received,1,2025-10-25,Passed,0,19,Female,1,Medical
